socks4://177.66.43.189:4145,BR,Unknown
socks4://177.136.124.47:56113,BR,Unknown
http://134.65.238.25:3128,BR,Unknown
http://47.243.181.85:41799,BR,Unknown
http://47.243.181.85:41795,BR,Unknown
http://47.243.181.85:41797,BR,Unknown
http://47.243.181.85:41804,BR,Unknown
http://47.243.181.85:41803,BR,Unknown
http://187.49.176.141:8080,BR,Unknown
http://45.4.148.90:8080,BR,Unknown
http://45.239.175.60:8080,BR,Unknown
http://189.50.45.46:1995,BR,Unknown
http://177.190.218.145:9999,BR,Unknown
http://200.174.198.32:8888,BR,Unknown
http://186.216.208.98:3128,BR,Unknown
http://72.10.164.178:13323,BR,Unknown
http://168.196.214.187:80,BR,Ipia?
http://177.139.193.9:8080,BR,S?o Paulo
