socks5://124.248.177.43:1080,KH,Unknown
socks5://110.235.252.146:1080,KH,Unknown
socks5://124.248.168.90:1080,KH,Phnom Penh
socks5://124.248.164.156:1080,KH,Phnom Penh
socks5://110.235.249.88:1080,KH,Unknown
socks5://202.62.62.51:1080,KH,Unknown
socks5://203.189.154.80:1080,KH,Phnom Penh
socks5://202.62.55.154:1080,KH,Unknown
http://103.118.47.205:8080,KH,Unknown
http://203.95.199.159:8080,KH,Unknown
socks5://202.62.37.36:1080,KH,Phnom Penh
socks5://203.189.153.170:1080,KH,Phnom Penh
socks5://124.248.184.144:1080,KH,Phnom Penh
socks5://202.62.50.222:1080,KH,Phnom Penh
